window_length_h,model,params,epochs,final_train_loss,mae,rmse,r2,mape,train_seconds
48,MLP,50369,30,0.009906069937760949,24.617136001586914,31.774511292403755,0.9719094634056091,1.9700275734066963,28.085846424102783
48,SimpleRNN,5249,30,0.011365691921258636,18.5592098236084,24.59457144037963,0.9831701517105103,1.4599092304706573,32.52486801147461
48,LSTM,20801,30,0.009797187102953403,17.733518600463867,23.894700794825173,0.9841143488883972,1.3870803639292717,35.80291295051575
48,GRU,15617,30,0.010259927142782309,18.00929069519043,24.21768646858376,0.9836819767951965,1.4053774066269398,31.448590993881226
48,LSTM_Attention,20866,30,0.013825181913315134,20.382638931274414,27.843079221718185,0.9784306883811951,1.6347600147128105,40.09342074394226
48,BiGRU,31233,30,0.009628034576603694,16.66067886352539,22.645428450075745,0.9857320189476013,1.3089830987155437,44.235793590545654
48,CNN1D,15361,30,0.01724146015650459,24.09676170349121,32.72349908824123,0.9702064990997314,1.9075915217399597,45.59193158149719
48,TCN,52417,30,0.00864562027434997,18.894838333129883,25.35068493280803,0.9821194410324097,1.4798076823353767,78.17147850990295
72,MLP,73409,30,0.011229479391220699,21.004182815551758,27.99634092127878,0.9781922698020935,1.672365888953209,33.22052216529846
72,SimpleRNN,5249,30,0.011502017918922565,16.172075271606445,22.10870623436437,0.9864001274108887,1.2955508194863796,40.904621601104736
72,LSTM,20801,30,0.009962491114466475,15.627046585083008,21.897082185806244,0.9866592288017273,1.24259814620018,37.312650203704834
72,GRU,15617,30,0.010187477828867713,14.977270126342773,21.02062484088358,0.9877058267593384,1.2016517110168934,31.859782695770264
72,LSTM_Attention,20866,30,0.030089000287850148,24.73834228515625,35.84849371944552,0.9642439484596252,2.024579606950283,44.53583312034607
72,BiGRU,31233,30,0.00979966456725822,15.19824504852295,20.98753931838187,0.9877445101737976,1.2140228413045406,45.27309823036194
72,CNN1D,15361,30,0.021531730191756318,29.94235610961914,37.955897387420244,0.9599164128303528,2.4558531120419502,40.55410170555115
72,TCN,64769,30,0.008917287855803802,17.907995223999023,24.321830782996553,0.9835411310195923,1.4143800362944603,74.59767770767212
96,MLP,96449,30,0.009819294837930159,23.117958068847656,30.291105731316268,0.9744694828987122,1.8489925190806389,25.887805700302124
96,SimpleRNN,5249,30,0.011451871370036936,16.214271545410156,22.345896968529257,0.9861060976982117,1.2831841595470905,34.52847337722778
96,LSTM,20801,30,0.009885239191824198,16.051715850830078,22.128273587050558,0.9863753914833069,1.2764029204845428,33.857383012771606
96,GRU,15617,30,0.010117906139968788,15.581671714782715,21.61733008400754,0.9869973063468933,1.245275791734457,31.851563215255737
96,LSTM_Attention,20866,30,0.017286622356522213,24.193696975708008,32.500878894366075,0.970608651638031,1.9504034891724586,38.94121289253235
96,BiGRU,31233,30,0.009515757799552934,16.367412567138672,22.223720847566163,0.9862576127052307,1.3030130416154861,39.84997034072876
96,CNN1D,15361,30,0.023809221391845423,29.784448623657227,39.47465996429703,0.9566423296928406,2.425251342356205,35.7506422996521
96,TCN,64769,30,0.007575652839495951,18.41128921508789,24.846928845369906,0.9828219413757324,1.461446937173605,57.74468278884888
120,MLP,119489,30,0.009302913611022158,24.45444679260254,32.145058867115374,0.9712610840797424,1.9610391929745674,25.327141523361206
120,SimpleRNN,5249,30,0.01197555133872231,16.8082218170166,23.46074238180601,0.9846917390823364,1.3341546058654785,29.52838945388794
120,LSTM,20801,30,0.011140115265640979,16.417322158813477,22.66043738243552,0.9857183694839478,1.3140513561666012,32.80697536468506
120,GRU,15617,30,0.010101142799128151,16.576894760131836,22.60010284130362,0.9857943058013916,1.3205748051404953,32.38525867462158
120,LSTM_Attention,20866,30,0.032041681176106264,45.95653533935547,63.281903931806404,0.8886216878890991,3.657693788409233,38.77502250671387
120,BiGRU,31233,30,0.009633414358313736,16.92643928527832,22.978387380777914,0.9853147864341736,1.3385997153818607,39.188966035842896
120,CNN1D,15361,30,0.02453521263376366,33.289154052734375,43.571705615840166,0.9471979737281799,2.6958713307976723,35.95641565322876
120,TCN,64769,30,0.008740904384290493,17.854846954345703,24.44000371804966,0.9833871722221375,1.4268078841269016,69.43505191802979
144,MLP,142529,30,0.00934652685875056,24.525297164916992,31.892329273728286,0.9717513918876648,1.9847670570015907,31.148468494415283
144,SimpleRNN,5249,30,0.011467968337994723,16.836048126220703,23.258060493723193,0.9849764704704285,1.3351118192076683,37.33256411552429
144,LSTM,20801,30,0.009786274596702163,17.47078514099121,23.922676137793406,0.9841055870056152,1.3743256218731403,41.82049822807312
144,GRU,15617,30,0.010298227053270053,15.259495735168457,21.31339420892595,0.9873837828636169,1.2185554951429367,43.05215764045715
144,LSTM_Attention,20866,30,0.03607673755558122,56.84231948852539,76.37498082037402,0.8379956483840942,4.555327072739601,59.87244462966919
144,BiGRU,31233,30,0.009378753442855341,16.5050106048584,22.53004653404364,0.9859023094177246,1.3049129396677017,63.331913471221924
144,CNN1D,15361,30,0.022051761775135174,37.865421295166016,49.67480429393381,0.9314674735069275,3.1482402235269547,45.77303910255432
144,TCN,77121,30,0.008341960452205005,25.109355926513672,33.00138898296082,0.9697525501251221,1.9343631342053413,91.39577174186707
168,MLP,165569,30,0.01230336529188377,26.273521423339844,34.81534541502048,0.9663720726966858,2.077885717153549,35.57711744308472
168,SimpleRNN,5249,30,0.011952123614544405,21.385807037353516,30.666128513202988,0.973909854888916,1.7280472442507744,41.60965609550476
168,LSTM,20801,30,0.010221349692317515,16.77409553527832,23.10751556075696,0.9851862192153931,1.3339860364794731,40.855271100997925
168,GRU,15617,30,0.010029185244435072,16.28296661376953,22.661015123893115,0.9857531785964966,1.3030486181378365,34.23934984207153
168,LSTM_Attention,20866,30,0.03544105579477491,52.38897705078125,72.55105287614715,0.8539686799049377,4.197850823402405,39.70563626289368
168,BiGRU,31233,30,0.009034790049933345,16.450782775878906,22.405842754754424,0.9860722422599792,1.3094623573124409,52.33575892448425
168,CNN1D,15361,30,0.021562511714314198,73.3864517211914,107.77647948996108,0.6777398586273193,5.986431986093521,24.183650493621826
168,TCN,77121,30,0.009214430755761057,19.818967819213867,26.450852217042318,0.9805894494056702,1.5579615719616413,84.18991780281067
