k,features,params,mae,rmse,r2,mape,train_seconds
3,national_demand_mw (lag);T2M_toc;T2M_dav,26625,16.934370040893555,23.461217166581534,0.9846853017807007,1.3727879151701927,31.961334466934204
4,national_demand_mw (lag);T2M_toc;T2M_dav;T2M_san,27009,14.540258407592773,20.305041449156246,0.9885286092758179,1.1635307222604752,31.169910192489624
5,national_demand_mw (lag);T2M_toc;T2M_dav;T2M_san;QV2M_toc,27393,14.747864723205566,20.51313472604961,0.9882922768592834,1.180245354771614,50.22615170478821
6,national_demand_mw (lag);T2M_toc;T2M_dav;T2M_san;QV2M_toc;QV2M_dav,27777,14.78264331817627,20.629755754971157,0.9881587624549866,1.1800754815340042,40.3243567943573
8,national_demand_mw (lag);T2M_toc;T2M_dav;T2M_san;QV2M_toc;QV2M_dav;QV2M_san;W2M_san,28545,15.021297454833984,20.93550596847972,0.987805187702179,1.2008236721158028,49.55274486541748
10,national_demand_mw (lag);T2M_toc;T2M_dav;T2M_san;QV2M_toc;QV2M_dav;QV2M_san;W2M_san;W2M_toc;school,29313,14.88066577911377,20.622592484961274,0.9881669878959656,1.191152911633253,51.400331258773804
15,T2M_toc;QV2M_toc;TQL_toc;W2M_toc;T2M_san;QV2M_san;TQL_san;W2M_san;T2M_dav;QV2M_dav;TQL_dav;W2M_dav;holiday;school;national_demand_mw (lag),31233,15.19824504852295,20.98753931838187,0.9877445101737976,1.2140228413045406,56.604012966156006
